iter	Passed	Remaining
404	8090	1897
405	8113	1878
406	8134	1858
407	8152	1838
408	8171	1818
409	8189	1797
410	8208	1777
411	8226	1757
412	8245	1736
413	8265	1716
414	8283	1696
415	8302	1676
416	8321	1656
417	8340	1636
418	8359	1616
419	8377	1595
420	8396	1575
421	8414	1555
422	8432	1535
423	8452	1515
424	8471	1495
425	8490	1474
426	8512	1455
427	8534	1435
428	8562	1417
429	8583	1397
430	8604	1377
431	8622	1357
432	8642	1337
433	8659	1316
434	8677	1296
435	8696	1276
436	8714	1256
437	8732	1236
438	8750	1215
439	8769	1195
440	8788	1175
441	8809	1155
442	8827	1135
443	8846	1115
444	8865	1095
445	8885	1075
446	8906	1055
447	8926	1036
448	8945	1016
449	8965	996
450	8983	976
451	9004	956
452	9028	936
453	9056	917
454	9077	897
455	9096	877
456	9115	857
457	9133	837
458	9149	817
459	9169	797
460	9187	777
461	9206	757
462	9226	737
463	9245	717
464	9264	697
465	9282	677
466	9300	657
467	9318	637
468	9337	617
469	9355	597
470	9374	577
471	9394	557
472	9412	537
473	9431	517
474	9449	497
475	9471	477
476	9492	457
477	9516	437
478	9541	418
479	9565	398
480	9584	378
481	9602	358
482	9623	338
483	9641	318
484	9661	298
485	9681	278
486	9700	258
487	9719	238
488	9738	219
489	9757	199
490	9775	179
491	9794	159
492	9813	139
493	9832	119
494	9852	99
495	9871	79
496	9892	59
497	9911	39
498	9929	19
499	9948	0
