iter	RMSE
0	75.18972877
1	69.53119104
2	64.30747933
3	59.67733536
4	55.62994186
5	52.00905615
6	48.89335139
7	46.22824913
8	43.69618458
9	41.40384517
10	39.52528511
11	37.74992419
12	36.21116627
13	34.78744449
14	33.62470531
15	32.56091162
16	31.58739131
17	30.7607177
18	29.96617922
19	29.324181
20	28.77057537
21	28.25453303
22	27.85995313
23	27.44812812
24	27.0554825
25	26.74484371
26	26.43575495
27	26.20253084
28	25.94316061
29	25.7132152
30	25.52758731
31	25.33075857
32	25.1499588
33	24.94488673
34	24.79706596
35	24.65814113
36	24.52242252
37	24.38196868
38	24.27360946
39	24.15306454
40	24.03107585
41	23.90887839
42	23.8296408
43	23.69953521
44	23.56450494
45	23.47681843
46	23.38635491
47	23.3062553
48	23.18619735
49	23.09328012
50	23.03873663
51	22.96502139
52	22.89463082
53	22.82879333
54	22.77180181
55	22.70889679
56	22.63329422
57	22.58891015
58	22.53182911
59	22.46420255
60	22.41822879
61	22.37010126
62	22.32682525
63	22.28534689
64	22.23276482
65	22.1803114
66	22.11898613
67	22.06812701
68	22.02934376
69	21.95006386
70	21.91717826
71	21.85575075
72	21.81845525
73	21.76867233
74	21.72120349
75	21.6646897
76	21.60473866
77	21.51921242
78	21.45082758
79	21.39400374
80	21.33503056
81	21.30451751
82	21.25357758
83	21.21300653
84	21.17446427
85	21.119801
86	21.08050328
87	21.00336063
88	20.96236856
89	20.89581023
90	20.84895539
91	20.81336251
92	20.77500419
93	20.74591049
94	20.66742051
95	20.63266585
96	20.56074533
97	20.53131029
98	20.47644382
99	20.44398752
100	20.41316476
101	20.38445351
102	20.35827645
103	20.3221661
104	20.27048121
105	20.22690231
106	20.18576649
107	20.15365451
108	20.10780192
109	20.07137041
110	20.05462551
111	20.03360288
112	19.97308728
113	19.94087223
114	19.90933316
115	19.8829724
116	19.81344535
117	19.77099879
118	19.72962336
119	19.7092452
120	19.68456586
121	19.63235225
122	19.59722944
123	19.56538453
124	19.54260194
125	19.50205172
126	19.48976403
127	19.43412587
128	19.39888387
129	19.37347755
130	19.35282718
131	19.32687848
132	19.29042106
133	19.23816345
134	19.21055469
135	19.17805494
136	19.14908862
137	19.12616239
138	19.11527726
139	19.10749781
140	19.07044606
141	19.02135512
142	18.99178953
143	18.97172422
144	18.93015473
145	18.88711049
146	18.85708386
147	18.81743278
148	18.78825992
149	18.77572887
150	18.74185598
151	18.72150865
152	18.67522751
153	18.66594279
154	18.64341211
155	18.62487404
156	18.61151441
157	18.58403108
158	18.55882401
159	18.5341466
160	18.52143462
161	18.50383744
162	18.44269677
163	18.41796204
164	18.39628011
165	18.36922424
166	18.3442784
167	18.31388959
168	18.2818499
169	18.25033237
170	18.22942442
171	18.20264165
172	18.16491637
173	18.15034705
174	18.1201559
175	18.08739681
176	18.07519981
177	18.05477593
178	18.031211
179	18.00424023
180	17.98610714
181	17.9716807
182	17.94308479
183	17.92233979
184	17.91132755
185	17.8883202
186	17.8562257
187	17.8204101
188	17.80168405
189	17.78572351
190	17.77325276
191	17.75886492
192	17.74075264
193	17.73389161
194	17.70680139
195	17.68565316
196	17.66807212
197	17.6541982
198	17.63761429
199	17.60062009
200	17.57398394
201	17.55244835
202	17.53786762
203	17.52217446
204	17.50877803
205	17.49153454
206	17.4726533
207	17.44949541
208	17.43474854
209	17.40474627
210	17.39132851
211	17.37099412
212	17.35719991
213	17.3413537
214	17.3247755
215	17.30585996
216	17.3000219
217	17.29358901
218	17.27299887
219	17.24741212
220	17.21957416
221	17.20158617
222	17.18226385
223	17.16345196
224	17.1340344
225	17.11477592
226	17.08777716
227	17.0681274
228	17.06081355
229	17.03739234
230	17.02503742
231	17.00117686
232	16.97769202
233	16.95973981
234	16.94499058
235	16.93683634
236	16.92487518
237	16.89036318
238	16.87460205
239	16.86488893
240	16.85541372
241	16.83344132
242	16.81556771
243	16.80297161
244	16.78195904
245	16.76273648
246	16.73696917
247	16.7250777
248	16.7027897
249	16.68890893
250	16.66710798
251	16.64280421
252	16.63510373
253	16.61977627
254	16.60229439
255	16.58308368
256	16.56562037
257	16.53940219
258	16.52595179
259	16.5133191
260	16.50050039
261	16.48771865
262	16.47169127
263	16.46040927
264	16.44818573
265	16.44084159
266	16.42744404
267	16.42080536
268	16.40823815
269	16.39306347
270	16.38492999
271	16.36223631
272	16.35454426
273	16.34280628
274	16.30905346
275	16.29719601
276	16.27317572
277	16.26024094
278	16.23945186
279	16.22872361
280	16.2175183
281	16.19585971
282	16.1789011
283	16.1501369
284	16.13755956
285	16.11534649
286	16.1007569
287	16.07932807
288	16.06419619
289	16.06032031
290	16.04687081
291	16.03351396
292	16.02301744
293	16.00553677
294	15.98439353
295	15.97010157
296	15.94859622
297	15.93844755
298	15.93347839
299	15.91424244
300	15.90332575
301	15.89086457
302	15.87439571
303	15.85645238
304	15.84758291
305	15.83614019
306	15.81072311
307	15.79472941
308	15.77915536
309	15.74851734
310	15.73723495
311	15.73029421
312	15.70674616
313	15.69881875
314	15.66770458
315	15.6582185
316	15.64943165
317	15.62519946
318	15.6076943
319	15.59444021
320	15.5833169
321	15.57318353
322	15.56675681
323	15.55012614
324	15.53731807
325	15.53029064
326	15.52391974
327	15.51747349
328	15.50046261
329	15.48570338
330	15.46798363
331	15.45581532
332	15.44542705
333	15.43275271
334	15.42467226
335	15.403886
336	15.40112253
337	15.39437411
338	15.36866202
339	15.3582074
340	15.34614498
341	15.31954877
342	15.31089335
343	15.29278341
344	15.28311839
345	15.27941624
346	15.26551016
347	15.25307534
348	15.23763175
349	15.23058682
350	15.22121549
351	15.20697526
352	15.19250555
353	15.17610273
354	15.15785555
355	15.13471769
356	15.12432423
357	15.11328856
358	15.10468873
359	15.09676023
360	15.09171422
361	15.0815823
362	15.0734383
363	15.05742037
364	15.04379842
365	15.03846036
366	15.03307498
367	15.02994232
368	15.00956217
369	14.99807712
370	14.98421746
371	14.9787122
372	14.96856632
373	14.95308225
374	14.94194461
375	14.93163207
376	14.92322038
377	14.91302519
378	14.89991205
379	14.89003939
380	14.8797518
381	14.8689129
382	14.8566072
383	14.83943547
384	14.8262815
385	14.81880749
386	14.80112534
387	14.79372659
388	14.78118579
389	14.77388125
390	14.7650568
391	14.76072044
392	14.75365967
393	14.74121444
394	14.73519721
395	14.72713559
396	14.71478404
397	14.70581149
398	14.69980958
399	14.69203852
400	14.6838918
401	14.67475094
402	14.66681218
403	14.65500797
404	14.6442204
405	14.63717928
406	14.62480565
407	14.61488112
408	14.60852566
409	14.58783579
410	14.57625747
411	14.56159711
412	14.55031505
413	14.54075233
414	14.53010114
415	14.51740772
416	14.50652231
417	14.48919741
418	14.47754759
419	14.47074683
420	14.4573971
421	14.45360721
422	14.44302334
423	14.43258565
424	14.41611532
425	14.39707721
426	14.38883817
427	14.37847871
428	14.36866756
429	14.35772675
430	14.35702814
431	14.35038615
432	14.33729624
433	14.3272095
434	14.32016125
435	14.30514484
436	14.30297113
437	14.29144726
438	14.28674905
439	14.27076113
440	14.26138101
441	14.24416591
442	14.23607236
