iter	RMSE
443	14.22222856
444	14.21337009
445	14.20093654
446	14.18776496
447	14.18205856
448	14.1719414
449	14.16255089
450	14.15655346
451	14.15453695
452	14.14843754
453	14.13540843
454	14.12602753
455	14.11895908
456	14.10776886
457	14.10660231
458	14.10370265
459	14.09591566
460	14.08594583
461	14.08249208
462	14.07210591
463	14.0655537
464	14.05406563
465	14.05206048
466	14.04033794
467	14.03305992
468	14.01839419
469	14.01265056
470	14.00513098
471	13.9960569
472	13.99341409
473	13.98417431
474	13.96793634
475	13.96043552
476	13.95524969
477	13.94755316
478	13.94019884
479	13.93278942
480	13.92261202
481	13.91561442
482	13.90925795
483	13.89878789
484	13.88933465
485	13.87320892
486	13.8677819
487	13.86287969
488	13.85125777
489	13.84785495
490	13.84046145
491	13.83449582
492	13.82556243
493	13.82002046
494	13.81193996
495	13.81073981
496	13.79637271
497	13.79175939
498	13.77908049
499	13.77261673
